Date,SP500
1/31/1959,55.62
2/28/1959,54.77
3/31/1959,56.15
4/30/1959,57.10
5/31/1959,57.96
6/30/1959,57.46
7/31/1959,59.74
8/31/1959,59.40
9/30/1959,57.05
10/31/1959,57.00
11/30/1959,57.23
12/31/1959,59.06
1/31/1960,58.03
2/29/1960,55.78
3/31/1960,55.02
4/30/1960,55.73
5/31/1960,55.22
6/30/1960,57.26
7/31/1960,55.84
8/31/1960,56.51
9/30/1960,54.81
10/31/1960,53.73
11/30/1960,55.47
12/31/1960,56.80
1/31/1961,59.72
2/28/1961,62.17
3/31/1961,64.12
4/30/1961,65.83
5/31/1961,66.50
6/30/1961,65.62
7/31/1961,65.44
8/31/1961,67.79
9/30/1961,67.26
10/31/1961,68.00
11/30/1961,71.08
12/31/1961,71.74
1/31/1962,69.07
2/28/1962,70.22
3/31/1962,70.29
4/30/1962,68.05
5/31/1962,62.99
6/30/1962,55.63
7/31/1962,56.97
8/31/1962,58.52
9/30/1962,58.00
10/31/1962,56.17
11/30/1962,60.04
12/31/1962,62.64
1/31/1963,65.06
2/28/1963,65.92
3/31/1963,65.67
4/30/1963,68.76
5/31/1963,70.14
6/30/1963,70.11
7/31/1963,69.07
8/31/1963,70.98
9/30/1963,72.85
10/31/1963,73.03
11/30/1963,72.62
12/31/1963,74.17
1/31/1964,76.45
2/29/1964,77.39
3/31/1964,78.80
4/30/1964,79.94
5/31/1964,80.72
6/30/1964,80.24
7/31/1964,83.22
8/31/1964,82.00
9/30/1964,83.41
10/31/1964,84.85
11/30/1964,85.44
12/31/1964,83.96
1/31/1965,86.12
2/28/1965,86.75
3/31/1965,86.83
4/30/1965,87.97
5/31/1965,89.28
6/30/1965,85.04
7/31/1965,84.91
8/31/1965,86.49
9/30/1965,89.38
10/31/1965,91.39
11/30/1965,92.15
12/31/1965,91.73
1/31/1966,93.32
2/28/1966,92.69
3/31/1966,88.88
4/30/1966,91.60
5/31/1966,86.78
6/30/1966,86.06
7/31/1966,85.84
8/31/1966,80.65
9/30/1966,77.81
10/31/1966,77.13
11/30/1966,80.99
12/31/1966,81.33
1/31/1967,84.45
2/28/1967,87.36
3/31/1967,89.42
4/30/1967,90.96
5/31/1967,92.59
6/30/1967,91.43
7/31/1967,93.01
8/31/1967,94.49
9/30/1967,95.81
10/31/1967,95.66
11/30/1967,92.66
12/31/1967,95.30
1/31/1968,95.04
2/29/1968,90.75
3/31/1968,89.09
4/30/1968,95.67
5/31/1968,97.87
6/30/1968,100.53
7/31/1968,100.30
8/31/1968,98.11
9/30/1968,101.34
10/31/1968,103.76
11/30/1968,105.40
12/31/1968,106.48
1/31/1969,102.04
2/28/1969,101.46
3/31/1969,99.30
4/30/1969,101.26
5/31/1969,104.62
6/30/1969,99.14
7/31/1969,94.71
8/31/1969,94.18
9/30/1969,94.51
10/31/1969,95.52
11/30/1969,96.21
12/31/1969,91.11
1/31/1970,90.31
2/28/1970,87.16
3/31/1970,88.65
4/30/1970,85.95
5/31/1970,76.06
6/30/1970,75.59
7/31/1970,75.72
8/31/1970,77.92
9/30/1970,82.58
10/31/1970,84.37
11/30/1970,84.28
12/31/1970,90.05
1/31/1971,93.49
2/28/1971,97.11
3/31/1971,99.60
4/30/1971,103.04
5/31/1971,101.64
6/30/1971,99.72
7/31/1971,99.00
8/31/1971,97.24
9/30/1971,99.40
10/31/1971,97.29
11/30/1971,92.78
12/31/1971,99.17
1/31/1972,103.30
2/29/1972,105.24
3/31/1972,107.69
4/30/1972,108.81
5/31/1972,107.65
6/30/1972,108.01
7/31/1972,107.21
8/31/1972,111.01
9/30/1972,109.39
10/31/1972,109.56
11/30/1972,115.05
12/31/1972,117.50
1/31/1973,118.42
2/28/1973,114.16
3/31/1973,112.42
4/30/1973,110.27
5/31/1973,107.22
6/30/1973,104.75
7/31/1973,105.83
8/31/1973,103.80
